"Treatment","gene","mean","sd","cv","DEG","change_in_treatment","spid","protein_names","evalue"
"Low","g1505",8.10375376590363,0.158846964431332,0.0196016523971492,"DEG","Up-regulated",NA,NA,NA
"Low","g15053",10.8604200600984,0.294340052327862,0.0271020872764653,"DEG","Up-regulated",NA,NA,NA
"Low","g15071",10.010167132553,0.181711338733141,0.0181526778051703,"DEG","Up-regulated",NA,NA,NA
"Low","g15085",9.78458004423048,0.207832993148167,0.021240870043341,"DEG","Up-regulated",NA,NA,NA
"Low","g151277",6.61726191247414,0.152394235084665,0.0230298025226095,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",9.11e-34
"Low","g152695",11.9254237331758,0.278962147742364,0.0233922210215733,"DEG","Up-regulated",NA,NA,NA
"Low","g15273",11.0445394062781,0.228846295098542,0.020720311339417,"DEG","Up-regulated",NA,NA,NA
"Low","g15274",8.49845581189476,0.203758757651128,0.0239759742429841,"DEG","Up-regulated",NA,NA,NA
"Low","g153231",7.62162661671014,0.225805540375969,0.0296269486464869,"DEG","Up-regulated",NA,NA,NA
"Low","g154078",7.1263186759149,0.160665956753575,0.0225454353166361,"DEG","Up-regulated",NA,NA,NA
"Low","g15417",9.38575094634973,0.207416570544313,0.022099091668843,"DEG","Up-regulated",NA,NA,NA
"Low","g15429",12.0670383990043,0.184190064575109,0.015263899764362,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",2.25e-33
"Low","g154552",7.29495116363805,0.160191368930105,0.0219592106015164,"DEG","Up-regulated",NA,NA,NA
"Low","g1561",12.8149640875706,0.228939483400775,0.0178650117032185,"DEG","Up-regulated",NA,NA,NA
"Low","g15610",8.92133264629477,0.165927750259241,0.018598987039022,"DEG","Up-regulated",NA,NA,NA
"Low","g15635",7.92855783887348,0.23597552625047,0.0297627300003399,"DEG","Up-regulated",NA,NA,NA
"Low","g15652",11.0796412616371,0.16533731840028,0.0149226238012557,"DEG","Up-regulated",NA,NA,NA
"Low","g15653",12.2876720115966,0.163904493839099,0.0133389378951857,"DEG","Up-regulated",NA,NA,NA
"Low","g15669",11.0289348224016,0.131236543789242,0.0118992945286682,"DEG","Up-regulated",NA,NA,NA
"Low","g15758",10.6710797652671,0.169710861473133,0.0159038134102904,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",8.59e-19
"Low","g15759",9.47395361152422,0.14967034503547,0.0157980871738077,"DEG","Up-regulated",NA,NA,NA
"Low","g15799",7.54047467872351,0.220293358042575,0.029214786525862,"DEG","Up-regulated",NA,NA,NA
"Low","g158761",7.77420291597772,0.217732148830502,0.0280070061437441,"DEG","Up-regulated",NA,NA,NA
"Low","g15884",11.5037334424073,0.247550652803762,0.0215191575885435,"DEG","Up-regulated","Q6DGV1","CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)",6.09e-21
"Low","g160278",6.37301265585452,0.185558829493142,0.0291163441081009,"DEG","Up-regulated",NA,NA,NA
"Low","g16082",11.196773320397,0.320913817214784,0.0286612766045894,"DEG","Up-regulated",NA,NA,NA
"Low","g16129",10.6875894802734,0.134606939902133,0.0125946959462265,"DEG","Up-regulated",NA,NA,NA
"Low","g16143",12.6778596911949,0.205426966290516,0.0162035999209859,"DEG","Up-regulated","Q9Z2W1","Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)",6.65e-28
"Low","g16173",12.2936071026091,0.184392298722518,0.0149990395156995,"DEG","Up-regulated",NA,NA,NA
"Low","g16174",10.0965646341238,0.234482020543217,0.0232239409185505,"DEG","Up-regulated",NA,NA,NA
"Low","g16210",8.42597480768268,0.199947922125839,0.0237299453997334,"DEG","Up-regulated",NA,NA,NA
"Low","g16211",9.39132731636343,0.181867752463932,0.0193655003534,"DEG","Up-regulated",NA,NA,NA
"Low","g16216",10.5223869920404,0.164846427057281,0.0156662577780097,"DEG","Up-regulated","Q16832","Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)",6.17e-16
"Low","g16220",10.4550250450092,0.148402163651188,0.0141943384173938,"DEG","Up-regulated","Q96PE1","Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)",6.49e-31
"Low","g1627",12.5792172316369,0.0708363051966706,0.00563121726036467,"DEG","Up-regulated",NA,NA,NA
"Low","g1628",10.9371911775779,0.15239654377832,0.0139337917116,"DEG","Up-regulated","Q23356","Serine/threonine-protein kinase mig-15 (EC 2.7.11.1) (Abnormal cell migration protein 15)",5.44e-28
"Low","g16327",11.7454952955307,0.149053295031838,0.0126902519886543,"DEG","Up-regulated",NA,NA,NA
"Low","g1639",10.2738421504742,0.150763061077546,0.0146744576049952,"DEG","Up-regulated",NA,NA,NA
"Low","g16396",8.16440018169219,0.198789823985136,0.0243483684730326,"DEG","Up-regulated",NA,NA,NA
"Low","g16461",10.0789995668084,0.120811691193207,0.011986476474417,"DEG","Up-regulated","P62484","Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)",2.7e-20
"Low","g16462",10.3135631803548,0.109056186836131,0.0105740552444436,"DEG","Up-regulated",NA,NA,NA
"Low","g16504",10.4498347944833,0.155712170488402,0.0149009217419022,"DEG","Up-regulated",NA,NA,NA
"Low","g16505",10.5299140504107,0.127786525933982,0.0121355716031698,"DEG","Up-regulated",NA,NA,NA
"Low","g16506",8.98761953635526,0.12476238920343,0.013881583293414,"DEG","Up-regulated",NA,NA,NA
"Low","g16512",8.79563161873808,0.215815130096821,0.024536626754246,"DEG","Up-regulated",NA,NA,NA
"Low","g16594",8.35160910432896,0.144927313280634,0.0173532203758809,"DEG","Up-regulated",NA,NA,NA
"Low","g16595",9.43326957481839,0.195100508060202,0.0206821724443254,"DEG","Up-regulated",NA,NA,NA
"Low","g1668",9.15368760696319,0.191285529830565,0.0208971004958761,"DEG","Up-regulated",NA,NA,NA
"Low","g16763",9.80155931663655,0.293798183353759,0.029974637081988,"DEG","Up-regulated",NA,NA,NA
"Low","g16768",10.5525078687799,0.216299553093708,0.0204974548025346,"DEG","Up-regulated",NA,NA,NA
"Low","g16769",11.1925549747779,0.19111668544506,0.0170753403379065,"DEG","Up-regulated",NA,NA,NA
"Low","g16882",11.983222219339,0.232863947263194,0.0194324984549972,"DEG","Up-regulated",NA,NA,NA
"Low","g16935",7.90086333003253,0.2160244111963,0.0273418741943243,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",5.67e-17
"Low","g16979",9.02389515444509,0.179875965602727,0.0199332951595877,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",4.03e-27
"Low","g16982",12.8516762683314,0.260246864607835,0.0202500326941105,"DEG","Up-regulated",NA,NA,NA
"Low","g16983",10.6927989075959,0.209045453932777,0.0195501155253445,"DEG","Up-regulated",NA,NA,NA
"Low","g17",9.74229330202636,0.146543026249323,0.015041943586203,"DEG","Up-regulated",NA,NA,NA
"Low","g17150",6.30560274572856,0.165339664462845,0.0262210721369732,"DEG","Up-regulated","Q6GNY1","E3 ubiquitin-protein ligase mib1 (EC 2.3.2.27) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase mib1)",6.48e-37
"Low","g17201",11.3207449081657,0.175279556234938,0.0154830408826285,"DEG","Up-regulated",NA,NA,NA
"Low","g17203",10.7352125204678,0.192653174380729,0.0179459115516732,"DEG","Up-regulated","P04323","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]",5.32e-37
"Low","g17237",9.7187041590986,0.223972052472018,0.0230454645810302,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",7.67e-24
"Low","g17239",11.8662056426469,0.140965164722351,0.0118795484392859,"DEG","Up-regulated",NA,NA,NA
"Low","g17244",9.78512780248382,0.12797180252319,0.0130781942869163,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.68e-18
"Low","g17358",11.0022013726185,0.166661641746889,0.0151480268450335,"DEG","Up-regulated",NA,NA,NA
"Low","g17362",11.7386379989931,0.219275885653551,0.0186798405123627,"DEG","Up-regulated",NA,NA,NA
"Low","g17363",11.800407827307,0.197278884507263,0.0167179717340569,"DEG","Up-regulated",NA,NA,NA
"Low","g17388",11.6950302566688,0.183029195246476,0.0156501685955116,"DEG","Up-regulated",NA,NA,NA
"Low","g17401",8.8738615689675,0.171231004898354,0.0192961095423396,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",5.61e-15
"Low","g17402",11.5455235276377,0.215187463152261,0.0186381728500352,"DEG","Up-regulated",NA,NA,NA
"Low","g17420",8.45133272671928,0.215252012881561,0.0254695939494881,"DEG","Up-regulated",NA,NA,NA
"Low","g17422",9.08480698091393,0.215275565621916,0.0236962178804881,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",2.79e-22
"Low","g17457",8.81992143251052,0.13643666480101,0.0154691474119146,"DEG","Up-regulated","P08045","Zinc finger protein Xfin (Xenopus fingers protein) (Xfin)",2.98e-14
"Low","g17510",10.8756019556999,0.178906567773974,0.0164502680865594,"DEG","Up-regulated",NA,NA,NA
"Low","g17511",11.2725499969849,0.175196652506657,0.0155418829416164,"DEG","Up-regulated",NA,NA,NA
"Low","g17567",9.99658513176749,0.225121761113569,0.0225198663489765,"DEG","Up-regulated",NA,NA,NA
"Low","g17568",9.40225695316955,0.191305514662591,0.0203467652091874,"DEG","Up-regulated",NA,NA,NA
"Low","g1758",8.30413439586969,0.154770902971417,0.0186378128764868,"DEG","Up-regulated",NA,NA,NA
"Low","g17598",10.6074144498742,0.172237869888716,0.0162374979032481,"DEG","Up-regulated",NA,NA,NA
"Low","g17599",10.787506114993,0.145165153126746,0.0134567852457565,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",1.04e-14
"Low","g17601",11.1597734555055,0.17527396364567,0.0157058711222495,"DEG","Up-regulated",NA,NA,NA
"Low","g17723",12.1738468429219,0.278975276959022,0.0229159509363486,"DEG","Up-regulated","Q26473","Semaphorin-1A (Fasciclin IV) (Fasciclin-4) (Semaphorin-I) (Sema I)",1.99e-11
"Low","g17724",11.3810393980316,0.298752089447188,0.0262499828881059,"DEG","Up-regulated",NA,NA,NA
"Low","g1779",9.37325436972346,0.192792675558002,0.0205683819038072,"DEG","Up-regulated",NA,NA,NA
"Low","g17801",11.0760294288576,0.229945222299643,0.0207606185751495,"DEG","Up-regulated","Q6P1C6","Leucine-rich repeats and immunoglobulin-like domains protein 3 (LIG-3)",2.18e-67
"Low","g17854",10.8404068455845,0.189504596770932,0.0174813177651281,"DEG","Up-regulated",NA,NA,NA
"Low","g17909",8.38182800446035,0.154598374767377,0.0184444699515557,"DEG","Up-regulated",NA,NA,NA
"Low","g17922",10.8176637368713,0.190124505125505,0.0175753757696756,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",8.3e-19
"Low","g17923",12.017233928232,0.180522714695807,0.0150219855728785,"DEG","Up-regulated",NA,NA,NA
"Low","g17953",12.7790115928785,0.297972436274069,0.0233173304608413,"DEG","Up-regulated",NA,NA,NA
"Low","g1796",9.77331911974998,0.265662525036475,0.0271824261319394,"DEG","Up-regulated",NA,NA,NA
"Low","g1797",11.249511511668,0.176703965542978,0.0157077012063769,"DEG","Up-regulated",NA,NA,NA
"Low","g17997",10.161926904188,0.149506977685358,0.0147124634033475,"DEG","Up-regulated","O73792","Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1) (Fragment)",9.71e-30
"Low","g18045",10.5793520208134,0.15827414683579,0.0149606655043151,"DEG","Up-regulated",NA,NA,NA
"Low","g18051",8.97610498719219,0.205139799289553,0.0228539884039082,"DEG","Up-regulated",NA,NA,NA
"Low","g18074",10.251838467702,0.142941785271669,0.0139430391653167,"DEG","Up-regulated",NA,NA,NA
"Low","g18161",9.58147017564928,0.201467783179601,0.0210268131598028,"DEG","Up-regulated",NA,NA,NA
"Low","g18162",10.0312438432753,0.193086278042939,0.019248488129653,"DEG","Up-regulated",NA,NA,NA
"Low","g18167",10.6197427203957,0.130337273901886,0.0122731103128862,"DEG","Up-regulated",NA,NA,NA
"Low","g1818",10.9446614349891,0.142061411860815,0.0129799731773025,"DEG","Up-regulated",NA,NA,NA
"Low","g18181",9.42970706621731,0.168852104518924,0.0179063997781914,"DEG","Up-regulated",NA,NA,NA
"Low","g18210",11.131390610208,0.255028780231068,0.0229107745080111,"DEG","Up-regulated","Q8MQW8","Protein sprint (SH2 poly-proline-containing Ras-interactor protein)",3.3e-16
"Low","g18274",8.90939178631483,0.232162476540783,0.0260581734543758,"DEG","Up-regulated",NA,NA,NA
"Low","g18617",11.8302627160168,0.275991100186461,0.0233292452426101,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",8.68e-26
"Low","g18619",12.8822935148954,0.270697044426826,0.0210131095145307,"DEG","Up-regulated",NA,NA,NA
"Low","g18717",11.0147273653721,0.165697641941466,0.0150432812765192,"DEG","Up-regulated",NA,NA,NA
"Low","g18791",12.1065671075732,0.189200935156093,0.0156279590634523,"DEG","Up-regulated",NA,NA,NA
"Low","g18805",7.89838184751422,0.236238644187709,0.0299097522440065,"DEG","Up-regulated",NA,NA,NA
"Low","g18808",9.51729340736752,0.194303601982692,0.0204158465717026,"DEG","Up-regulated",NA,NA,NA
"Low","g1883",7.92127165888757,0.22960714881453,0.0289861475154578,"DEG","Up-regulated",NA,NA,NA
"Low","g1884",11.4471991520273,0.254191341577127,0.0222055489907425,"DEG","Up-regulated",NA,NA,NA
"Low","g18893",9.72020424543316,0.208768873198789,0.0214778278241298,"DEG","Up-regulated",NA,NA,NA
"Low","g19111",10.3986762969976,0.215141862286243,0.0206893508502002,"DEG","Up-regulated",NA,NA,NA
"Low","g19306",11.5498253448206,0.253322864818166,0.0219330472327676,"DEG","Up-regulated",NA,NA,NA
"Low","g19470",9.29904656205738,0.134127210165049,0.014423759389734,"DEG","Up-regulated",NA,NA,NA
"Low","g19471",10.1364005115585,0.145708268619696,0.0143747544755701,"DEG","Up-regulated",NA,NA,NA
"Low","g19506",10.6486538190486,0.103019251651724,0.00967439203136083,"DEG","Up-regulated",NA,NA,NA
"Low","g19591",11.0560403135374,0.175770886423936,0.0158981770542854,"DEG","Up-regulated",NA,NA,NA
"Low","g1960",12.4151821145723,0.210981922120251,0.0169938644615299,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",3.99e-40
"Low","g19615",8.67996374082607,0.166578249303175,0.0191911227139898,"DEG","Up-regulated",NA,NA,NA
"Low","g19622",8.64746234390128,0.148380755409438,0.0171588784672864,"DEG","Up-regulated",NA,NA,NA
"Low","g19623",8.8020239133349,0.110826227442458,0.0125909936775517,"DEG","Up-regulated",NA,NA,NA
"Low","g1963",9.55207554776872,0.249063916310087,0.026074324377414,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",1.43e-24
"Low","g19638",12.8109953902674,0.232101592521714,0.0181173738223372,"DEG","Up-regulated",NA,NA,NA
"Low","g19639",10.9624492096856,0.29396676523115,0.0268157926762773,"DEG","Up-regulated",NA,NA,NA
"Low","g19669",10.0717199908958,0.282889305429301,0.0280874871109417,"DEG","Up-regulated",NA,NA,NA
"Low","g19717",10.2537885804632,0.140198849219057,0.013672882770977,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",3.13e-16
"Low","g19809",9.53373895858869,0.228772422883375,0.0239960863074901,"DEG","Up-regulated",NA,NA,NA
"Low","g19950",13.0057667269235,0.277921081204835,0.021369065510725,"DEG","Up-regulated","Q9VVE5","RNA-binding protein Musashi homolog Rbp6",5.82e-21
"Low","g19960",9.00036318179001,0.155299821345099,0.0172548394112928,"DEG","Up-regulated","O00370","LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",3.36e-17
"Low","g19996",10.2710443263732,0.150005720301817,0.0146047193970961,"DEG","Up-regulated",NA,NA,NA
"Low","g20056",8.14945367871333,0.167939363338508,0.0206074382356662,"DEG","Up-regulated",NA,NA,NA
"Low","g20172",10.3839427608407,0.188110671035414,0.0181155342790222,"DEG","Up-regulated",NA,NA,NA
"Low","g20199",9.45430837461993,0.230567605436214,0.0243875698041723,"DEG","Up-regulated",NA,NA,NA
"Low","g20282",9.96621094071328,0.216440500602967,0.0217174312173927,"DEG","Up-regulated",NA,NA,NA
"Low","g20292",8.0258755039048,0.170804751230129,0.0212817593727971,"DEG","Up-regulated",NA,NA,NA
"Low","g20348",9.36602356401301,0.192702126028224,0.0205745933384838,"DEG","Up-regulated",NA,NA,NA
"Low","g20384",9.03847987487011,0.19215371096596,0.0212595163817545,"DEG","Up-regulated",NA,NA,NA
"Low","g20418",11.1180955942263,0.221656203624562,0.0199365261564823,"DEG","Up-regulated",NA,NA,NA
"Low","g20543",12.0344696644713,0.237274630820555,0.0197162515205009,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.31e-26
"Low","g20544",10.8850048443073,0.122631917353202,0.0112661334659246,"DEG","Up-regulated",NA,NA,NA
"Low","g20551",9.40134092390259,0.208481604256078,0.0221757306690177,"DEG","Up-regulated",NA,NA,NA
"Low","g20571",6.80589854406346,0.130197072291719,0.0191300342561358,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",1.5e-32
"Low","g20585",10.9322197614394,0.174286843941518,0.0159424936330196,"DEG","Up-regulated",NA,NA,NA
"Low","g20586",8.64256365849451,0.168285917519586,0.0194717590947894,"DEG","Up-regulated",NA,NA,NA
"Low","g20604",10.6451292029453,0.201945003558022,0.0189706484259626,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",3.4e-33
"Low","g20608",8.72116057246719,0.220065732037362,0.0252335374642811,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.13e-14
"Low","g20619",9.00616300776475,0.165013157238208,0.0183222485642265,"DEG","Up-regulated",NA,NA,NA
"Low","g2066",7.98767740345979,0.199946215422058,0.025031834076756,"DEG","Up-regulated",NA,NA,NA
"Low","g2072",11.70029331027,0.215250918992852,0.0183970532434357,"DEG","Up-regulated",NA,NA,NA
"Low","g2075",11.4947766976308,0.162194872309823,0.0141103108460778,"DEG","Up-regulated",NA,NA,NA
"Low","g20818",8.66717881707639,0.156480067818415,0.0180543255332534,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",1.17e-12
"Low","g20819",9.8697515407702,0.170912771463045,0.0173168261386353,"DEG","Up-regulated",NA,NA,NA
"Low","g20856",10.0191001260722,0.143126850597995,0.0142853997661471,"DEG","Up-regulated","P04323","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]",7.66e-35
"Low","g20857",10.959028250284,0.150201656402853,0.0137057458902855,"DEG","Up-regulated",NA,NA,NA
"Low","g20895",8.72703690870741,0.14552758835778,0.0166754867522767,"DEG","Up-regulated",NA,NA,NA
"Low","g20919",10.9050127630745,0.10654571424411,0.00977034292017382,"DEG","Up-regulated",NA,NA,NA
"Low","g20936",12.9863745465454,0.232103420631868,0.0178728420160661,"DEG","Up-regulated",NA,NA,NA
"Low","g20958",7.9961186525773,0.23381655246783,0.0292412559926767,"DEG","Up-regulated",NA,NA,NA
"Low","g21015",8.80608356340447,0.21034689177219,0.0238865427812121,"DEG","Up-regulated","P10394","Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]",2.07e-28
"Low","g21043",8.31219975761339,0.134067322615687,0.0161289822820837,"DEG","Up-regulated",NA,NA,NA
"Low","g21049",8.48248562593377,0.209569926354959,0.0247061929246581,"DEG","Up-regulated",NA,NA,NA
"Low","g21063",11.7671950809648,0.147843506230434,0.0125640397064202,"DEG","Up-regulated",NA,NA,NA
"Low","g21064",10.6900427237255,0.258450866113737,0.0241767851441913,"DEG","Up-regulated","Q5EAB6","Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-)",7.07e-29
"Low","g21076",9.27582926730823,0.194640188435497,0.020983588941367,"DEG","Up-regulated",NA,NA,NA
"Low","g21079",10.2607890540093,0.234773874866559,0.0228806842856617,"DEG","Up-regulated",NA,NA,NA
"Low","g21080",11.4786010736522,0.257345605163952,0.0224195965616977,"DEG","Up-regulated",NA,NA,NA
"Low","g21156",9.40282210210871,0.205699427650653,0.0218763500379873,"DEG","Up-regulated","Q8VDS4","Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)",5.29e-13
"Low","g21227",12.9382151758432,0.245066184956461,0.0189412667532398,"DEG","Up-regulated",NA,NA,NA
"Low","g21235",11.8908329339923,0.338858811028739,0.0284974831376232,"DEG","Up-regulated",NA,NA,NA
"Low","g21313",10.242656355817,0.166727338910751,0.0162777440850159,"DEG","Up-regulated",NA,NA,NA
"Low","g21336",11.7191765439436,0.165763555594037,0.014144641901457,"DEG","Up-regulated","O55164","Multiple PDZ domain protein (Multi-PDZ domain protein 1)",1.8e-24
"Low","g2139",10.6844798504422,0.183035013546767,0.0171309241169276,"DEG","Up-regulated",NA,NA,NA
"Low","g21493",10.4769752358559,0.214990626256758,0.0205202953540431,"DEG","Up-regulated","Q52118","Uncharacterized protein in mobD 3'region",6.28e-11
"Low","g21531",11.6715674122953,0.238801676174879,0.0204601205424488,"DEG","Up-regulated",NA,NA,NA
"Low","g21535",9.18658483663697,0.162528388666859,0.017691927038945,"DEG","Up-regulated",NA,NA,NA
"Low","g21564",11.421103778679,0.338468552185774,0.029635362636108,"DEG","Up-regulated",NA,NA,NA
"Low","g21922",6.86793100511846,0.182550081586306,0.0265800692304942,"DEG","Up-regulated",NA,NA,NA
"Low","g21997",9.58737128141254,0.287048351924379,0.0299402561451743,"DEG","Up-regulated",NA,NA,NA
"Low","g221",8.9292850522863,0.138691523799353,0.0155322092404074,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",4.28e-18
"Low","g22199",8.79272154937371,0.150097165244304,0.0170706150992573,"DEG","Up-regulated",NA,NA,NA
"Low","g22200",8.93151964220466,0.224066338746872,0.025087146165819,"DEG","Up-regulated",NA,NA,NA
"Low","g22213",10.4968019668547,0.192700660096289,0.0183580352096545,"DEG","Up-regulated","Q7KRI2","Longitudinals lacking protein-like (Lola-like protein) (Protein Batman)",1.76e-14
"Low","g22214",9.59302402265344,0.253573173734974,0.0264330802399925,"DEG","Up-regulated",NA,NA,NA
"Low","g2237",9.72456242497632,0.14837774625598,0.0152580383334154,"DEG","Up-regulated","Q588U8","Craniofacial development protein 2 (p97 bucentaur protein)",3.98e-17
"Low","g22383",11.1907641330107,0.194929846952213,0.0174188147150028,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",1.84e-28
"Low","g22509",11.4047985340122,0.147013750368877,0.0128905170863336,"DEG","Up-regulated",NA,NA,NA
"Low","g22510",10.0159910108942,0.142059092134451,0.0141832287968247,"DEG","Up-regulated","Q96DM1","PiggyBac transposable element-derived protein 4",3.01e-45
"Low","g22518",8.86434254929314,0.208155055180332,0.0234822891853305,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.03e-29
"Low","g22595",9.11718003986754,0.202966957887552,0.022262032448632,"DEG","Up-regulated",NA,NA,NA
"Low","g22621",13.0955414835895,0.190156464391384,0.0145207026856947,"DEG","Up-regulated","P42325","Neurocalcin homolog (DrosNCa)",5.24e-18
"Low","g22694",8.74758703340539,0.189151058583468,0.0216232268237099,"DEG","Up-regulated","P14381","Transposon TX1 uncharacterized 149 kDa protein (ORF 2)",2.78e-11
"Low","g2273",10.1038016270032,0.224650926321749,0.0222342970116665,"DEG","Up-regulated",NA,NA,NA
"Low","g22789",9.03481277650271,0.197254108540278,0.0218326725101915,"DEG","Up-regulated",NA,NA,NA
"Low","g22790",10.6402376668951,0.203790924809774,0.0191528545874335,"DEG","Up-regulated",NA,NA,NA
"Low","g22791",9.56656909693091,0.229507490413571,0.0239905746865091,"DEG","Up-regulated",NA,NA,NA
"Low","g22818",11.5215411655609,0.182582625131984,0.015847066161404,"DEG","Up-regulated","Q99816","Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)",6.64e-13
"Low","g22834",10.9808150003647,0.158410277567497,0.0144260947445372,"DEG","Up-regulated",NA,NA,NA
"Low","g22878",7.41638341880006,0.215838948675117,0.0291029921845705,"DEG","Up-regulated",NA,NA,NA
"Low","g22902",8.88581590682177,0.176183575197912,0.0198275067867042,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",3.12e-24
"Low","g22927",9.97754080390732,0.293281123260665,0.0293941291771829,"DEG","Up-regulated",NA,NA,NA
"Low","g22959",8.5512946556528,0.168469271738357,0.0197010252274479,"DEG","Up-regulated","P0C218","Probable ATP-dependent RNA helicase DDX20 (EC 3.6.1.15) (EC 3.6.4.13) (DEAD box protein 20)",5.62e-125
"Low","g22977",10.1579676859563,0.267283042238973,0.0263126493903401,"DEG","Up-regulated",NA,NA,NA
"Low","g23067",10.7092104768368,0.225354713889788,0.0210430744990223,"DEG","Up-regulated",NA,NA,NA
