gene	gene_ontology_i_ds
evm.TU.HiC_scaffold_19.27	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_95.37	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_36.9	GO:0001504; GO:0003407; GO:0005313; GO:0005326; GO:0005769; GO:0006814; GO:0006820; GO:0007420; GO:0008021; GO:0015293; GO:0016021; GO:0021766; GO:0022857; GO:0030285; GO:0035249; GO:0050803; GO:0060076; GO:0098700; GO:0098793; GO:1990030; GO:1990384
evm.TU.HiC_scaffold_72.25	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_57.38	GO:0005737; GO:0005874; GO:0030286; GO:0031514
evm.TU.HiC_scaffold_57.39	GO:0001933; GO:0005041; GO:0005102; GO:0005109; GO:0005576; GO:0005783; GO:0005886; GO:0006469; GO:0007204; GO:0007268; GO:0009986; GO:0014029; GO:0014033; GO:0016021; GO:0016055; GO:0017147; GO:0019210; GO:0019534; GO:0031410; GO:0031901; GO:0034392; GO:0042802; GO:0042803; GO:0042813; GO:0043025; GO:0043434; GO:0044335; GO:0044340; GO:0045121; GO:0045202; GO:0045787; GO:0045893; GO:0045944; GO:0051091; GO:0060070; GO:0071397; GO:0071542; GO:0071901; GO:0071936; GO:0072659; GO:0090118; GO:0090244; GO:0098609; GO:1904928; GO:1904948; GO:1904953; GO:1990851; GO:1990909
evm.TU.HiC_scaffold_78.33	GO:0003964; GO:0004519; GO:0046872
evm.TU.HiC_scaffold_15.50	GO:0000122; GO:0000139; GO:0000151; GO:0000209; GO:0000266; GO:0000422; GO:0000423; GO:0001664; GO:0001933; GO:0001963; GO:0001964; GO:0003714; GO:0003779; GO:0004842; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0006511; GO:0006513; GO:0006979; GO:0007005; GO:0007612; GO:0007626; GO:0008013; GO:0008021; GO:0008344; GO:0010468; GO:0010498; GO:0010506; GO:0010628; GO:0010629; GO:0010636; GO:0010637; GO:0010821; GO:0010918; GO:0010994; GO:0014069; GO:0015631; GO:0016235; GO:0016567; GO:0016607; GO:0019538; GO:0019899; GO:0019900; GO:0019901; GO:0030165; GO:0030424; GO:0030544; GO:0030672; GO:0031072; GO:0031396; GO:0031410; GO:0031624; GO:0031625; GO:0031647; GO:0031648; GO:0032092; GO:0032232; GO:0032436; GO:0032991; GO:0033132; GO:0034976; GO:0035249; GO:0035774; GO:0042053; GO:0042415; GO:0042417; GO:0042802; GO:0042826; GO:0042981; GO:0043005; GO:0043025; GO:0043065; GO:0043123; GO:0043130; GO:0043161; GO:0043195; GO:0043274; GO:0043388; GO:0043524; GO:0043653; GO:0044257; GO:0044828; GO:0044877; GO:0045121; GO:0045202; GO:0045944; GO:0046329; GO:0046676; GO:0046872; GO:0046928; GO:0048471; GO:0050804; GO:0050821; GO:0051087; GO:0051582; GO:0051583; GO:0051646; GO:0051865; GO:0051881; GO:0051967; GO:0055069; GO:0060548; GO:0061630; GO:0061734; GO:0070050; GO:0070534; GO:0070585; GO:0070842; GO:0070936; GO:0070979; GO:0085020; GO:0090090; GO:0090141; GO:0090201; GO:0090258; GO:0090394; GO:0097237; GO:0097602; GO:0097708; GO:0098779; GO:0098793; GO:0099073; GO:0099074; GO:1900407; GO:1901215; GO:1901526; GO:1901800; GO:1902236; GO:1902254; GO:1902283; GO:1902530; GO:1903204; GO:1903265; GO:1903377; GO:1903382; GO:1903427; GO:1903542; GO:1903599; GO:1903861; GO:1904049; GO:1904881; GO:1905232; GO:1905366; GO:1905477; GO:1990381; GO:1990444; GO:1990452; GO:2000377; GO:2000378; GO:2001171
evm.TU.HiC_scaffold_104.40	GO:0005886; GO:0005905; GO:0006886; GO:0006898; GO:0015031; GO:0030122; GO:0035615; GO:0048488; GO:0072583; GO:0098793; GO:0140312
evm.TU.HiC_scaffold_104.41	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_44.15	GO:0042302
evm.TU.HiC_scaffold_44.16	GO:0003676; GO:0003677; GO:0003723; GO:0005634; GO:0005737; GO:0006366; GO:0007283; GO:0009386; GO:0010468; GO:0048599; GO:0120162
evm.TU.HiC_scaffold_44.17	GO:0042302
evm.TU.HiC_scaffold_44.18	GO:0042302
evm.TU.HiC_scaffold_66.22	GO:0001818; GO:0005524; GO:0005737; GO:0006919; GO:0007165; GO:0008656; GO:0009968; GO:0031953; GO:0032088; GO:0032661; GO:0032692; GO:0032715; GO:0032731; GO:0036336; GO:0043122; GO:0043124; GO:0043281; GO:0045345; GO:0045751; GO:0050728; GO:0050729; GO:0070373; GO:0071345; GO:1901223; GO:1901224
evm.TU.HiC_scaffold_50.35	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_64.22	GO:0003964
evm.TU.HiC_scaffold_18.31	GO:0005615; GO:0008270; GO:0031462
evm.TU.HiC_scaffold_18.32	GO:0008270; GO:0031462
evm.TU.HiC_scaffold_21.42	GO:0003964
evm.TU.HiC_scaffold_89.26	GO:0003964
evm.TU.HiC_scaffold_89.27	GO:0001654; GO:0001822; GO:0001886; GO:0001889; GO:0002080; GO:0002081; GO:0003341; GO:0005737; GO:0005802; GO:0005813; GO:0005814; GO:0005829; GO:0005929; GO:0005930; GO:0007219; GO:0007224; GO:0007288; GO:0007290; GO:0007368; GO:0007399; GO:0007420; GO:0007507; GO:0008104; GO:0008544; GO:0009887; GO:0009952; GO:0009953; GO:0019894; GO:0021513; GO:0021537; GO:0030324; GO:0030900; GO:0030992; GO:0031016; GO:0031122; GO:0031514; GO:0032391; GO:0034405; GO:0036064; GO:0036126; GO:0036334; GO:0042073; GO:0042487; GO:0042733; GO:0043568; GO:0045598; GO:0048853; GO:0050680; GO:0055007; GO:0060091; GO:0060122; GO:0060173; GO:0060259; GO:0060271; GO:0060411; GO:0060426; GO:0060914; GO:0061351; GO:0070613; GO:0090102; GO:0097541; GO:0097542; GO:0097546; GO:0097730; GO:1902017; GO:1903929; GO:1905515; GO:2000785
evm.TU.HiC_scaffold_89.28	GO:0005102; GO:0005576; GO:0016055; GO:0042692; GO:1904105; GO:2000052
evm.TU.HiC_scaffold_22.17	GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0051607
evm.TU.HiC_scaffold_22.19	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_22.20	GO:0003964
evm.TU.HiC_scaffold_101.22	GO:0003964
evm.TU.HiC_scaffold_60.33	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_60.34	GO:0004930; GO:0005886; GO:0007166; GO:0007186; GO:0007369; GO:0007472; GO:0007476; GO:0007509; GO:0008340; GO:0016021; GO:0042594; GO:0043519; GO:0048383; GO:0070252
evm.TU.HiC_scaffold_56.39	GO:0003964
evm.TU.HiC_scaffold_56.40	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_56.41	GO:0003700; GO:0005496; GO:0005634; GO:0005794; GO:0005886; GO:0007200; GO:0007204; GO:0008270; GO:0010863; GO:0030284; GO:0030518; GO:0043124; GO:0043565; GO:0045429; GO:0045893; GO:0051000; GO:0051091; GO:0071392
evm.TU.HiC_scaffold_60.36	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_93.11	GO:0003964
evm.TU.HiC_scaffold_28.39	GO:0003964
evm.TU.HiC_scaffold_103.39	GO:0003964
evm.TU.HiC_scaffold_84.46	GO:0004725; GO:0005634; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0010633; GO:0015031; GO:0019901; GO:0032456; GO:0036064; GO:0043162; GO:0045022; GO:0060271; GO:0061357; GO:1903387; GO:1903393; GO:2000643
evm.TU.HiC_scaffold_104.42	GO:0005367; GO:0005412; GO:0005886; GO:0006020; GO:0007422; GO:0008076; GO:0015146; GO:0015150; GO:0015166; GO:0015459; GO:0015750; GO:0015756; GO:0015791; GO:0015798; GO:0016021; GO:0032409; GO:0043085; GO:0043576; GO:0044325; GO:0048471; GO:1903428; GO:1904659; GO:1905477
evm.TU.HiC_scaffold_19.28	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_19.29	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_19.31	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_19.32	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.33	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_90.51	GO:0001578; GO:0005737; GO:0005884; GO:0005938; GO:0008017; GO:0008093; GO:0030707; GO:0030713; GO:0031110; GO:0045746; GO:0051015; GO:0051764; GO:1904825
evm.TU.HiC_scaffold_52.25	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_23.24	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_23.25	GO:0005750; GO:0006122
evm.TU.HiC_scaffold_78.35	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_46.32	GO:0000387; GO:0000395; GO:0000974; GO:0005634; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0005829; GO:0046540; GO:0071004; GO:0071011; GO:0071013; GO:0071014
evm.TU.HiC_scaffold_81.36	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_81.37	GO:0005085; GO:0005516; GO:0005769; GO:0005886; GO:0031267; GO:0031410; GO:0032483; GO:0042998; GO:0045089; GO:0045175; GO:0045179; GO:0050829; GO:0055037; GO:0061864; GO:0070831; GO:0090630; GO:0097575; GO:0110010; GO:0110011
evm.TU.HiC_scaffold_81.38	GO:0005524; GO:0008559; GO:0016020; GO:0016021; GO:0042626; GO:0055085
evm.TU.HiC_scaffold_81.40	GO:0016491
evm.TU.HiC_scaffold_50.36	GO:0003964
evm.TU.HiC_scaffold_68.40	GO:0000398; GO:0003682; GO:0003712; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005669; GO:0006367; GO:0008344; GO:0008345; GO:0045887; GO:0046872; GO:0048749; GO:0051124; GO:0071013
evm.TU.HiC_scaffold_28.40	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_52.27	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_79.51	GO:0000403; GO:0000724; GO:0000731; GO:0000732; GO:0003678; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006268; GO:0006281; GO:0006302; GO:0006303; GO:0006310; GO:0006974; GO:0007131; GO:0009378; GO:0016887; GO:0032508; GO:0043138; GO:0045003; GO:0046872; GO:1901291; GO:1990814; GO:1990918
evm.TU.HiC_scaffold_88.13	GO:0005886; GO:0005887; GO:0007156; GO:0007411; GO:0030424; GO:0042802; GO:0048812; GO:0070593; GO:0098632
evm.TU.HiC_scaffold_15.53	GO:0005856
evm.TU.HiC_scaffold_51.21	GO:0000502; GO:0000932; GO:0004298; GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0006511; GO:0010498; GO:0019773; GO:0043231
evm.TU.HiC_scaffold_68.42	GO:0010339; GO:0031362; GO:0098631
evm.TU.HiC_scaffold_40.5	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_19.33	GO:0000932; GO:0003723; GO:0003779; GO:0005521; GO:0005634; GO:0005635; GO:0005640; GO:0005654; GO:0005730; GO:0005737; GO:0005794; GO:0005856; GO:0006997; GO:0007030; GO:0007283; GO:0016021; GO:0019899; GO:0030017; GO:0031965; GO:0034993; GO:0042692; GO:0042802; GO:0042803; GO:0045211; GO:0051015; GO:0090292; GO:0140444
evm.TU.HiC_scaffold_19.34	GO:0000932; GO:0003723; GO:0003779; GO:0005521; GO:0005634; GO:0005635; GO:0005640; GO:0005654; GO:0005730; GO:0005737; GO:0005794; GO:0005856; GO:0006997; GO:0007030; GO:0007283; GO:0016021; GO:0019899; GO:0030017; GO:0031965; GO:0034993; GO:0042692; GO:0042802; GO:0042803; GO:0045211; GO:0051015; GO:0090292; GO:0140444
evm.TU.HiC_scaffold_21.43	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_22.21	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_22.23	GO:0003964
evm.TU.HiC_scaffold_22.24	GO:0000281; GO:0000902; GO:0000915; GO:0001736; GO:0001737; GO:0001745; GO:0003779; GO:0005654; GO:0005737; GO:0005829; GO:0007015; GO:0007298; GO:0007409; GO:0008585; GO:0010591; GO:0010669; GO:0015629; GO:0016319; GO:0016363; GO:0030032; GO:0030041; GO:0030042; GO:0030043; GO:0033206; GO:0036011; GO:0042052; GO:0042067; GO:0048749; GO:0048870; GO:0050714; GO:0051014; GO:0051015; GO:0051299
evm.TU.HiC_scaffold_16.48	GO:0004252; GO:0005802; GO:0005886; GO:0016020; GO:0016485; GO:0030173; GO:0045464; GO:0051048
evm.TU.HiC_scaffold_18.34	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
evm.TU.HiC_scaffold_99.13	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_99.14	GO:0005789
evm.TU.HiC_scaffold_99.15	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_99.16	GO:0000380; GO:0000381; GO:0001701; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006376; GO:0036002; GO:0042835; GO:0048025; GO:0048026; GO:0090394; GO:1902866; GO:1990904
evm.TU.HiC_scaffold_81.43	GO:0006811; GO:0016021; GO:0022857
evm.TU.HiC_scaffold_81.44	GO:0000398; GO:0001556; GO:0003723; GO:0005737; GO:0007076; GO:0007277; GO:0007279; GO:0007317; GO:0007318; GO:0010529; GO:0016246; GO:0030423; GO:0030717; GO:0031047; GO:0031507; GO:0034584; GO:0035282; GO:0043186; GO:0045089; GO:0046011; GO:0046012; GO:0046594; GO:0046843; GO:0048477; GO:0050829; GO:0060213; GO:0071011; GO:0071013; GO:1900370; GO:1903863
evm.TU.HiC_scaffold_26.48	GO:0016021; GO:0016323; GO:0022857; GO:1904659
evm.TU.HiC_scaffold_90.52	GO:0003964
evm.TU.HiC_scaffold_58.26	GO:0003964
evm.TU.HiC_scaffold_23.29	GO:0000287; GO:0004614; GO:0005737; GO:0006006; GO:0008973; GO:0046386
evm.TU.HiC_scaffold_2.45	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_55.30	GO:0003964
evm.TU.HiC_scaffold_55.31	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_32.29	GO:0005509; GO:0005886; GO:0005887; GO:0005925; GO:0007156; GO:0007295; GO:0007424; GO:0007431; GO:0007440; GO:0007442; GO:0009925; GO:0016339; GO:0030950; GO:0031254; GO:0042247; GO:0044331; GO:0044877; GO:0045089; GO:0048477; GO:0050829; GO:0050839; GO:0051491; GO:0060269; GO:0098609; GO:0098858; GO:1902463
evm.TU.HiC_scaffold_47.26	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_67.38	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_45.31	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_44.20	GO:0042302
evm.TU.HiC_scaffold_52.28	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
evm.TU.HiC_scaffold_78.36	GO:0003964
evm.TU.HiC_scaffold_78.37	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_74.27	GO:0005886; GO:0015574; GO:0015771; GO:0016021; GO:0051119
evm.TU.HiC_scaffold_74.28	GO:0005886; GO:0015574; GO:0015771; GO:0016021; GO:0051119
evm.TU.HiC_scaffold_74.30	GO:0003964
evm.TU.HiC_scaffold_15.54	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_60.37	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_41.19	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.36	GO:0004140; GO:0004595; GO:0005524; GO:0005759; GO:0015937
evm.TU.HiC_scaffold_68.44	GO:0001752; GO:0003677; GO:0005634; GO:0007219; GO:0007420; GO:0007424; GO:0007430; GO:0008056; GO:0010629; GO:0035214; GO:0035218; GO:0035220; GO:0045892; GO:0046872
evm.TU.HiC_scaffold_42.36	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_60.38	GO:0000978; GO:0000981; GO:0005634; GO:0006357
evm.TU.HiC_scaffold_95.41	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_95.42	GO:0003964
evm.TU.HiC_scaffold_95.43	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_78.38	GO:0000272; GO:0004099; GO:0005615; GO:0006032; GO:0008061; GO:0008270
evm.TU.HiC_scaffold_43.24	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_44.21	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_88.15	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_80.46	GO:0000165; GO:0001657; GO:0001755; GO:0001838; GO:0004712; GO:0004714; GO:0005509; GO:0005524; GO:0005769; GO:0005886; GO:0005887; GO:0007156; GO:0007158; GO:0007169; GO:0007399; GO:0009410; GO:0010008; GO:0010628; GO:0010976; GO:0014042; GO:0030155; GO:0030182; GO:0030335; GO:0030424; GO:0030425; GO:0033141; GO:0033619; GO:0033630; GO:0033674; GO:0035799; GO:0035860; GO:0042551; GO:0043025; GO:0043235; GO:0043410; GO:0045121; GO:0045793; GO:0045893; GO:0048265; GO:0048484; GO:0050770; GO:0051897; GO:0060041; GO:0060384; GO:0061146; GO:0071300; GO:0072300; GO:0098797
evm.TU.HiC_scaffold_29.37	GO:0016491; GO:0050660
evm.TU.HiC_scaffold_29.38	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.39	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_34.15	GO:0005737; GO:0007219; GO:0008446; GO:0019673; GO:0042351; GO:0042802; GO:0070401
evm.TU.HiC_scaffold_29.40	GO:0005509; GO:0005829; GO:0016460; GO:0017022; GO:0030048; GO:0031475; GO:0031476; GO:0031477; GO:0032036
evm.TU.HiC_scaffold_65.20	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0001501; GO:0005634; GO:0005654; GO:0006357; GO:0007368; GO:0030154; GO:0031016; GO:0032331; GO:0042474; GO:0043066; GO:0048513; GO:0048536; GO:0048645; GO:0048705; GO:0048706; GO:0055123; GO:0060576; GO:1990837
evm.TU.HiC_scaffold_48.21	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_84.47	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_84.49	GO:0000978; GO:0000981; GO:0001707; GO:0001708; GO:0001709; GO:0003007; GO:0003677; GO:0005634; GO:0006357; GO:0007280; GO:0007442; GO:0007443; GO:0007494; GO:0007509; GO:0042803; GO:0045944
evm.TU.HiC_scaffold_6.21	GO:0000234; GO:0005737; GO:0006656; GO:0008168; GO:0009555; GO:0009826; GO:0009860; GO:0010183; GO:0032259; GO:0042425; GO:0048528; GO:0052667
evm.TU.HiC_scaffold_6.22	GO:0000146; GO:0000281; GO:0001701; GO:0001725; GO:0001764; GO:0001778; GO:0003279; GO:0005516; GO:0005524; GO:0005737; GO:0005819; GO:0005829; GO:0005844; GO:0005903; GO:0005938; GO:0006887; GO:0006930; GO:0007097; GO:0007155; GO:0007409; GO:0007411; GO:0007420; GO:0007507; GO:0007512; GO:0008283; GO:0008360; GO:0009898; GO:0016459; GO:0016460; GO:0021592; GO:0021670; GO:0021678; GO:0021680; GO:0030027; GO:0030036; GO:0030048; GO:0030239; GO:0030424; GO:0030426; GO:0030496; GO:0031032; GO:0031175; GO:0031594; GO:0032154; GO:0035613; GO:0035904; GO:0042641; GO:0042802; GO:0043005; GO:0043025; GO:0043197; GO:0043531; GO:0048027; GO:0050714; GO:0050885; GO:0051015; GO:0051017; GO:0055003; GO:0055015; GO:0060041; GO:0060976; GO:0070650; GO:0097513; GO:0098871; GO:0098885; GO:0098974; GO:0098978; GO:1905274
evm.TU.HiC_scaffold_6.23	GO:0000146; GO:0000287; GO:0003779; GO:0005516; GO:0005524; GO:0005859; GO:0006939; GO:0008307; GO:0030016; GO:0030239; GO:0030241; GO:0032027; GO:0032982; GO:0043531; GO:0045159; GO:0048251; GO:0051015; GO:0055013
evm.TU.HiC_scaffold_67.39	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_67.41	GO:0001934; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0007165; GO:0019209; GO:0019900; GO:0030295; GO:0031952; GO:0035329; GO:0046872
evm.TU.HiC_scaffold_67.42	GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006397; GO:0008380; GO:0014069; GO:0019899; GO:0042802; GO:0043484; GO:0071013; GO:0098761; GO:1990904
evm.TU.HiC_scaffold_67.45	GO:0000902; GO:0005737; GO:0031616; GO:0051661; GO:0051684
evm.TU.HiC_scaffold_11.33	GO:0005524; GO:0005737; GO:0006260; GO:0006457; GO:0008270; GO:0009408; GO:0031072; GO:0051082
evm.TU.HiC_scaffold_38.19	GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074
evm.TU.HiC_scaffold_98.17	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_35.13	GO:0000976; GO:0000978; GO:0001228; GO:0002165; GO:0003677; GO:0004879; GO:0005634; GO:0005737; GO:0006355; GO:0006357; GO:0007480; GO:0007552; GO:0008134; GO:0008219; GO:0008270; GO:0009725; GO:0009755; GO:0009888; GO:0016319; GO:0016322; GO:0035073; GO:0035074; GO:0035075; GO:0035626; GO:0040034; GO:0045944; GO:0046982; GO:0048813; GO:0055088; GO:0090575
evm.TU.HiC_scaffold_11.34	GO:0004518; GO:0005634; GO:0046872
evm.TU.HiC_scaffold_22.25	GO:0005509; GO:0005886; GO:0005911; GO:0007156; GO:0007411; GO:0007412; GO:0007413; GO:0016021; GO:0016318; GO:0016339; GO:0030424; GO:0030425; GO:0031290; GO:0042803; GO:0044331; GO:0045296; GO:0045463; GO:0045467; GO:0048675; GO:0048814; GO:0048841; GO:0048846; GO:0050774; GO:0098609
evm.TU.HiC_scaffold_53.22	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_103.46	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_103.47	GO:0000791; GO:0005634; GO:0005654; GO:0006325; GO:0016593; GO:0032784; GO:0035065; GO:0046974; GO:0046975; GO:0050890; GO:0051963; GO:0097198; GO:1902275
evm.TU.HiC_scaffold_60.39	GO:0002063; GO:0005576; GO:0008376; GO:0009954; GO:0016021; GO:0016757; GO:0030206; GO:0030279; GO:0031667; GO:0032580; GO:0045880; GO:0046872; GO:0047238; GO:0050510; GO:0051216; GO:0051923; GO:0060349
evm.TU.HiC_scaffold_23.30	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_23.32	GO:0005886; GO:0008152; GO:0031225; GO:0052794; GO:0052795; GO:0052796
evm.TU.HiC_scaffold_103.49	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_103.50	GO:0000149; GO:0001701; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0008270; GO:0012507; GO:0030127; GO:0070971; GO:0090110
evm.TU.HiC_scaffold_103.51	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_104.43	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_21.48	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_21.49	GO:0003723; GO:0005634; GO:0005737; GO:0005829; GO:0006915; GO:0007569; GO:0030509; GO:0034393; GO:0043066; GO:0043508; GO:0045892; GO:0050729; GO:0051246; GO:0060940; GO:0071222; GO:1900016; GO:1901224; GO:1904706; GO:1904761; GO:1905064; GO:1905461; GO:2000353
evm.TU.HiC_scaffold_56.44	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_56.45	GO:0004089; GO:0005737; GO:0005886; GO:0008270
evm.TU.HiC_scaffold_57.46	GO:0003964
evm.TU.HiC_scaffold_77.30	GO:0003964
evm.TU.HiC_scaffold_77.31	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_77.32	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_103.52	GO:0003964
evm.TU.HiC_scaffold_35.14	GO:0003676; GO:0005634; GO:0005737; GO:0015074; GO:0045787; GO:0050679
evm.TU.HiC_scaffold_69.37	GO:0000287; GO:0004672; GO:0004674; GO:0004707; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0006355; GO:0006468; GO:0007179; GO:0016055; GO:0018107; GO:0030178; GO:0031625; GO:0035556; GO:0042169; GO:0042501; GO:0046777; GO:0050821; GO:0106310
evm.TU.HiC_scaffold_90.54	GO:0000282; GO:0001402; GO:0005034; GO:0005576; GO:0005886; GO:0005887; GO:0006075; GO:0006972; GO:0007232; GO:0009986; GO:0030010; GO:0030427; GO:0031505
evm.TU.HiC_scaffold_99.17	GO:0005794; GO:0005975; GO:0006486; GO:0008376; GO:0009636; GO:0016021; GO:0033207; GO:0045747; GO:0046872; GO:0070085
evm.TU.HiC_scaffold_99.18	GO:0005794; GO:0005975; GO:0006486; GO:0009636; GO:0016021; GO:0033207; GO:0045747; GO:0046872; GO:0070085
evm.TU.HiC_scaffold_79.53	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_78.39	GO:0005737; GO:0005739; GO:0005759; GO:0016226; GO:0030097; GO:0046872; GO:0051537; GO:0097573
evm.TU.HiC_scaffold_78.42	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_27.38	GO:0005886; GO:0006629; GO:0008081; GO:0008889; GO:0016042; GO:0019695; GO:0031225; GO:0046872; GO:0047390
evm.TU.HiC_scaffold_22.27	GO:0004997; GO:0005886; GO:0007200; GO:0016021
evm.TU.HiC_scaffold_79.58	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_83.17	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_71.16	GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0051607
evm.TU.HiC_scaffold_57.54	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_43.25	GO:0003964
evm.TU.HiC_scaffold_2.50	GO:0003964
evm.TU.HiC_scaffold_49.21	GO:0004452; GO:0005777; GO:0006695; GO:0008299; GO:0046872; GO:0050992
evm.TU.HiC_scaffold_78.45	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_6953.2	GO:0004930; GO:0004935; GO:0004989; GO:0005887; GO:0007186; GO:0007188; GO:0007189; GO:0008227; GO:0016021; GO:0045886; GO:0071880
evm.TU.HiC_scaffold_52.31	GO:0000287; GO:0004449; GO:0005739; GO:0006099; GO:0006102; GO:0051287
evm.TU.HiC_scaffold_52.33	GO:0000287; GO:0004449; GO:0005739; GO:0005962; GO:0006099; GO:0006102; GO:0006103; GO:0006734; GO:0051287
evm.TU.HiC_scaffold_94.38	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_94.39	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_103.54	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_102.40	GO:0003964
